clean-city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Kampala,0.3136,32.5811,Uganda,UG,Kampala,primary,1680600,1680600
Mbale,1.0806,34.1750,Uganda,UG,Mbale,admin,586300,586300
Nansana,0.3639,32.5286,Uganda,UG,Wakiso,,532800,532800
Arua,3.0353,30.9108,Uganda,UG,Arua,admin,250000,61962
Kasangati,0.4378,32.6025,Uganda,UG,Wakiso,,207800,207800
Mbarara,-0.6133,30.6583,Uganda,UG,Mbarara,admin,195013,195013
Njeru,0.4311,33.1478,Uganda,UG,Buikwe,,178800,178800
Mukono,0.3533,32.7553,Uganda,UG,Mukono,admin,161996,161996
Gulu,2.7817,32.2992,Uganda,UG,Gulu,admin,152276,152276
Tororo,0.6928,34.1811,Uganda,UG,Tororo,admin,150000,41906
Lira,2.2472,32.9000,Uganda,UG,Lira,admin,135445,116500
Hoima,1.4319,31.3525,Uganda,UG,Hoima,admin,122700,122700
Kasese,0.1867,30.0881,Uganda,UG,Kasese,admin,115400,115400
Lugazi,0.3833,32.9242,Uganda,UG,Buikwe,,114163,114163
Masindi,1.6836,31.7222,Uganda,UG,Masindi,admin,110500,110500
Mityana,0.4006,32.0422,Uganda,UG,Mityana,admin,105200,105200
Masaka,-0.3411,31.7361,Uganda,UG,Masaka,admin,103829,103829
Mubende,0.5575,31.3950,Uganda,UG,Mubende,admin,103473,103473
Wakiso,0.3981,32.4781,Uganda,UG,Wakiso,admin,87900,87900
Jinja,0.4233,33.2039,Uganda,UG,Jinja,admin,72931,72931
Entebbe,0.0500,32.4600,Uganda,UG,Wakiso,,69958,69958
Kireka,0.3467,32.5000,Uganda,UG,Wakiso,,69000,69000
Kamuli,0.9450,33.1250,Uganda,UG,Kamuli,admin,67800,67800
Apac,1.9850,32.5350,Uganda,UG,Apac,admin,67700,67700
Busia,0.4669,34.0900,Uganda,UG,Busia,admin,64900,64900
Soroti,1.7150,33.6111,Uganda,UG,Soroti,admin,60900,60900
Fort Portal,0.6544,30.2744,Uganda,UG,Kabarole,admin,60800,60800
Kitgum,3.2889,32.8778,Uganda,UG,Kitgum,admin,56891,44604
Iganga,0.6150,33.4850,Uganda,UG,Iganga,admin,53870,53870
Kabale,-1.2500,29.9900,Uganda,UG,Kabale,admin,53200,53200
Kyaliwajjala,0.3800,32.6467,Uganda,UG,Wakiso,,50000,50000
Mpigi,0.2300,32.3300,Uganda,UG,Mpigi,admin,49500,49500
Luwero,0.8331,32.4994,Uganda,UG,Luwero,admin,49100,49100
Yumbe,3.4650,31.2450,Uganda,UG,Yumbe,admin,47600,47600
Bushenyi,-0.5417,30.1878,Uganda,UG,Buhweju,admin,43700,43700
Pallisa,1.1675,33.7100,Uganda,UG,Pallisa,admin,42300,42300
Nebbi,2.4792,31.0900,Uganda,UG,Nebbi,admin,41400,41400
Koboko,3.4100,30.9600,Uganda,UG,Koboko,admin,37825,37825
Rukungiri,-0.7900,29.9250,Uganda,UG,Rukungiri,admin,37200,37200
Adjumani,3.3772,31.7906,Uganda,UG,Adjumani,admin,37100,37100
Bugiri,0.5694,33.7486,Uganda,UG,Bugiri,admin,36000,36000
Isingiro,-0.7950,30.8153,Uganda,UG,Isingiro,admin,34300,34300
Paidha,2.4167,30.9875,Uganda,UG,Zombo,,33426,33426
Bugembe,0.4675,33.2414,Uganda,UG,Jinja,,33100,33100
Kiryandongo,1.9525,32.1389,Uganda,UG,Kiryandongo,admin,31610,31610
Kalisizo,-0.5350,31.6225,Uganda,UG,Rakai,,31439,31439
Ibanda,-0.1347,30.4950,Uganda,UG,Ibanda,admin,31316,31316
Wobulenzi,0.7200,32.5300,Uganda,UG,Luwero,,31000,31000
Kayunga,0.7033,32.9036,Uganda,UG,Kayunga,admin,30000,30000
Kyegegwa,0.4803,31.0547,Uganda,UG,Kyegegwa,admin,29400,29400
Pakwach,2.4619,31.4983,Uganda,UG,Pakwach,admin,28700,28700
Kakiri,0.4200,32.3900,Uganda,UG,Wakiso,,28100,28100
Kibuku,1.0375,33.8400,Uganda,UG,Kibuku,admin,25000,25000
Abim,2.7019,33.6600,Uganda,UG,Abim,admin,24400,24400
Buwenge,0.6503,33.1703,Uganda,UG,Jinja,,24200,24200
Butaleja,0.9250,33.9450,Uganda,UG,Butaleja,admin,24000,24000
Kyenjojo,0.6100,30.6442,Uganda,UG,Kyenjojo,admin,23467,23467
Buyende,1.1475,33.1611,Uganda,UG,Buyende,admin,23039,23039
Kotido,3.0061,34.1125,Uganda,UG,Kotido,admin,22900,22900
Kagadi,0.9411,30.8108,Uganda,UG,Kagadi,admin,22813,22813
Moyo,3.6504,31.7200,Uganda,UG,Moyo,admin,22434,22434
Kiboga,0.9200,31.7600,Uganda,UG,Kiboga,admin,22400,22400
Bundibugyo,0.7125,30.0600,Uganda,UG,Bundibugyo,admin,22300,22300
Malaba,0.6444,34.2606,Uganda,UG,Tororo,,20800,20800
Dokolo,1.9186,33.1700,Uganda,UG,Dokolo,admin,19810,19810
Kamwenge,0.1861,30.4539,Uganda,UG,Kamwenge,admin,19240,19240
Sironko,1.2306,34.2481,Uganda,UG,Sironko,admin,18900,18900
Buikwe,0.3442,33.0300,Uganda,UG,Buikwe,admin,18500,18500
Ngora,1.4575,33.7764,Uganda,UG,Ngora,admin,17700,17700
Kisoro,-1.2850,29.6850,Uganda,UG,Kisoro,admin,17561,17561
Mayuge,0.4578,33.4800,Uganda,UG,Mayuge,admin,17151,17151
Busolwe,0.8492,33.9269,Uganda,UG,Butaleja,,16800,16800
Kaliro,0.8944,33.4994,Uganda,UG,Kaliro,admin,16796,16796
Ntungamo,-0.8819,30.2653,Uganda,UG,Ntungamo,admin,16400,16400
Moroto,2.5300,34.6700,Uganda,UG,Moroto,admin,16300,16300
Lyantonde,-0.4069,31.1575,Uganda,UG,Lyantonde,admin,16300,16300
Manafwa,0.9564,34.2844,Uganda,UG,Manafwa,admin,16000,16000
Kimwanyi,0.4533,32.6347,Uganda,UG,Wakiso,,15700,15700
Lwengo,-0.3911,31.4606,Uganda,UG,Lwengo,admin,15527,15527
Gombe,0.1811,32.1142,Uganda,UG,Butambala,admin,15196,15196
Kanungu,-0.8969,29.7756,Uganda,UG,Kanungu,admin,15056,15056
Zombo,2.5131,30.9081,Uganda,UG,Zombo,admin,15000,15000
Oyam,2.2350,32.3850,Uganda,UG,Oyam,admin,14500,14500
Busembatia,0.7750,33.6250,Uganda,UG,Bugweri,,14431,14431
Bukedea,1.3475,34.0444,Uganda,UG,Bukedea,admin,13900,13900
Kaabong,3.5200,34.1200,Uganda,UG,Kaabong,admin,13400,13400
Kumi,1.4608,33.9361,Uganda,UG,Kumi,admin,13000,13000
Kibiito,0.4775,30.1925,Uganda,UG,Bunyangabu,admin,12984,12984
Kapchorwa,1.4000,34.4500,Uganda,UG,Kapchorwa,admin,12900,12900
Amolatar,1.6350,32.8250,Uganda,UG,Amolatar,admin,12900,12900
